,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
45,EARTH IMAGES FOUNDATION,1,239498,For-profit organization
55,GENETICS SOCIETY OF AMERICA INC,1,97500,For-profit organization
100,SAGEFOX CONSULTING GROUP LLC,3,803224,For-profit organization
37,COEUR D'ALENE TRIBE,1,2091864,Tribal designated organization
21,ARKANSAS CHILDREN'S RESEARCH INSTITUTE,1,264424,Medical center
127,VANDERBILT UNIVERSITY MEDICAL CENTER,1,20000,Medical center
129,VIRGINIA BIOTECHNOLOGY RESEARCH PARK,1,1000000,Medical center
28,BISHOP MUSEUM,1,598628,Museum
71,LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY FOUNDATION,1,2982873,Museum
88,NEW YORK HALL OF SCIENCE,2,1545601,Museum
89,OREGON MUSEUM OF SCIENCE AND INDUSTRY,2,2098538,Museum
104,SMITHSONIAN INSTITUTION,1,249313,Museum
110,THE AMERICAN MUSEUM OF NATURAL HISTORY,3,1040546,Museum
112,THE EXPLORATORIUM,1,499231,Museum
120,THE MORTON ARBORETUM,1,328693,Museum
1,ACTIVATE GLOBAL INC,1,12244454,Non-profit organization
2,"ALGEBRA PROJECT, INC.",1,1072633,Non-profit organization
4,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,3,14350331,Non-profit organization
5,AMERICAN ASSOCIATION OF COLLEGES AND UNIVERSITIES,1,3127229,Non-profit organization
6,AMERICAN GEOPHYSICAL UNION,4,228030,Non-profit organization
7,AMERICAN INDIAN SCIENCE & ENGINEERING SOCIETY,1,1543276,Non-profit organization
8,"AMERICAN INSTITUTE OF BIOLOGICAL SCIENCES, INC.",1,99963,Non-profit organization
9,AMERICAN INSTITUTE OF CHEMICAL ENGINEERS,1,47250,Non-profit organization
10,AMERICAN INSTITUTE OF MATHEMATICS,1,100,Non-profit organization
11,AMERICAN INSTITUTE OF PHYSICS INCORPORATED,1,51066,Non-profit organization
12,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,3,1496853,Non-profit organization
13,AMERICAN MATHEMATICAL ASSOCIATION OF TWO-YEAR COLLEGES,1,49920,Non-profit organization
14,"AMERICAN METEOROLOGICAL SOCIETY, INC.",1,49951,Non-profit organization
15,AMERICAN PHYSICAL SOCIETY,2,1709234,Non-profit organization
16,AMERICAN POLITICAL SCIENCE ASSOCIATION,1,942221,Non-profit organization
17,AMERICAN SOCIETY FOR ENGINEERING EDUCATION,3,471043,Non-profit organization
18,AMERICAN SOCIETY FOR MICROBIOLOGY,1,499985,Non-profit organization
20,ARIZONA TECHNOLOGY COUNCIL FOUNDATION,1,74940,Non-profit organization
22,ASSOCIATED UNIVERSITIES INC,1,8661255,Non-profit organization
25,BIGELOW LABORATORY FOR OCEAN SCIENCES,1,315151,Non-profit organization
26,BIOINDUSTRIAL MANUFACTURING AND DESIGN ECOSYSTEM,1,234191,Non-profit organization
31,CARNEGIE INSTITUTION OF WASHINGTON,1,306393,Non-profit organization
32,"CARY INSTITUTE OF ECOSYSTEM STUDIES, INC",1,2550000,Non-profit organization
35,"CHILD TRENDS, INCORPORATED",2,1794756,Non-profit organization
36,COASTAL AND ESTUARINE RESEARCH FEDERATION,1,1736883,Non-profit organization
