AWARD ID,USASPENDING LINK,TOTAL AWARD FUNDING AMOUNT,RECIPIENT TYPE,RECIPIENT NAME,Address,City,STATE,Zip Code
2315197,https://www.usaspending.gov/award/ASST_NON_2315197_4900/,1072633,NON-PROFIT ORGANIZATION,"ALGEBRA PROJECT, INC.",99 Bishop Allen Dr,Cambridge,MASSACHUSETTS,2139
2334406,https://www.usaspending.gov/award/ASST_NON_2334406_4900/,3127229,NON-PROFIT ORGANIZATION,AMERICAN ASSOCIATION OF COLLEGES AND UNIVERSITIES,1818 R St NW,"Washington, DC",DISTRICT OF COLUMBIA,20009
2236832,https://www.usaspending.gov/award/ASST_NON_2236832_4900/,74940,NON-PROFIT ORGANIZATION,ARIZONA TECHNOLOGY COUNCIL FOUNDATION,"2800 North Central Avenue, #1530",Phoenix,ARIZONA,85004
2223035,https://www.usaspending.gov/award/ASST_NON_2223035_4900/,499000,RESEARCH INSTITUTE ,"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC",1120 15th St,Augusta,GEORGIA,30912
2331938,https://www.usaspending.gov/award/ASST_NON_2331938_4900/,270913,RESEARCH INSTITUTE ,"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC",1120 15th St,Augusta,GEORGIA,30912
2318232,https://www.usaspending.gov/award/ASST_NON_2318232_4900/,999875,NON-PROFIT ORGANIZATION,"COMPUTER SCIENCE TEACHERS ASSOCIATION, LLC",1601 Elm St,Dallas,NEW YORK,75201-0000
2331287,https://www.usaspending.gov/award/ASST_NON_2331287_4900/,1169896,NON-PROFIT ORGANIZATION,COUNCIL OF GRADUATE SCHOOLS,1 Dunpont Cir NW,"Washington, DC",DISTRICT OF COLUMBIA,20036
2336484,https://www.usaspending.gov/award/ASST_NON_2336484_4900/,4662695,NON-PROFIT ORGANIZATION,COUNCIL OF GRADUATE SCHOOLS,1 Dunpont Cir NW,"Washington, DC",DISTRICT OF COLUMBIA,20036
2219314,https://www.usaspending.gov/award/ASST_NON_2219314_4900/,499954,NON-PROFIT ORGANIZATION,"EDUCATION DEVELOPMENT CENTER, INC.",1025 Thomas Jefferson St NW,"Washington, DC",MASSACHUSETTS,20007
2241350,https://www.usaspending.gov/award/ASST_NON_2241350_4900/,1299525,NON-PROFIT ORGANIZATION,"EDUCATION DEVELOPMENT CENTER, INC.",1025 Thomas Jefferson St NW,"Washington, DC",MASSACHUSETTS,20007
2324183,https://www.usaspending.gov/award/ASST_NON_2324183_4900/,2013922,NON-PROFIT ORGANIZATION,"EDUCATION DEVELOPMENT CENTER, INC.",1025 Thomas Jefferson St NW,"Washington, DC",MASSACHUSETTS,20007
2330910,https://www.usaspending.gov/award/ASST_NON_2330910_4900/,99873,NON-PROFIT ORGANIZATION,"EDUCATION DEVELOPMENT CENTER, INC.",1025 Thomas Jefferson St NW,"Washington, DC",MASSACHUSETTS,20007
2321316,https://www.usaspending.gov/award/ASST_NON_2321316_4900/,49998,NON-PROFIT ORGANIZATION,ELECTRICAL & COMPUTER ENGINEERING DEPARTMENT HEADS ASSOCIATION,180 N Stetson Ave,Chicago,ILLINOIS,60601
2304076,https://www.usaspending.gov/award/ASST_NON_2304076_4900/,621118,NON-PROFIT ORGANIZATION,HISPANIC ASSOCIATION OF COLLEGES & UNIVERSITIES,4801 NW Loop 410,San Antonio,TEXAS,78229
2317076,https://www.usaspending.gov/award/ASST_NON_2317076_4900/,49997,NON-PROFIT ORGANIZATION,INCLUSIVE ENGINEERING CONSORTIUM INC,205 Daingerfield Road,Alexandria,ILLINOIS,22314
2342700,https://www.usaspending.gov/award/ASST_NON_2342700_4900/,1299941,NON-PROFIT ORGANIZATION,INSTITUTE FOR FUTURE INTELLIGENCE INC,26 Rockland St,Natick,MASSACHUSETTS,1760
2314100,https://www.usaspending.gov/award/ASST_NON_2314100_4900/,1992484,NON-PROFIT ORGANIZATION,INSTITUTE FOR LEARNING INNOVATION,9450 SW Gemini Dr,Beaverton,OREGON,97008
2130402,https://www.usaspending.gov/award/ASST_NON_2130402_4900/,1499481,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,10036
2150251,https://www.usaspending.gov/award/ASST_NON_2150251_4900/,369125,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2151945,https://www.usaspending.gov/award/ASST_NON_2151945_4900/,3000000,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2153668,https://www.usaspending.gov/award/ASST_NON_2153668_4900/,149994,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2213611,https://www.usaspending.gov/award/ASST_NON_2213611_4900/,289497,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2215859,https://www.usaspending.gov/award/ASST_NON_2215859_4900/,19883,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2216654,https://www.usaspending.gov/award/ASST_NON_2216654_4900/,2999169,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2216676,https://www.usaspending.gov/award/ASST_NON_2216676_4900/,997716,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2216838,https://www.usaspending.gov/award/ASST_NON_2216838_4900/,990544,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2222452,https://www.usaspending.gov/award/ASST_NON_2222452_4900/,221000,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2226183,https://www.usaspending.gov/award/ASST_NON_2226183_4900/,782337,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2247728,https://www.usaspending.gov/award/ASST_NON_2247728_4900/,300000,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2307748,https://www.usaspending.gov/award/ASST_NON_2307748_4900/,1427087,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2310991,https://www.usaspending.gov/award/ASST_NON_2310991_4900/,604088,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
