,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
1,ADAMS STATE UNIVERSITY,1,587295,Public Institution of Higher Education
2,ALABAMA A & M UNIVERSITY,3,1763785,Public Institution of Higher Education
3,ALASKA PACIFIC UNIVERSITY,1,99999,Private Institution of Higher Education
4,ALBANY STATE UNIVERSITY,2,1799991,Public Institution of Higher Education
5,AMERICAN INDIAN OIC INC,1,41145,Public Institution of Higher Education
6,"AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY, INC.",2,629626,Private Institution of Higher Education
7,AMERICAN UNIVERSITY,3,6599983,Private Institution of Higher Education
8,ANGELO STATE UNIVERSITY,1,1499710,Public Institution of Higher Education
9,APPALACHIAN STATE UNIVERSITY,2,1134857,Public Institution of Higher Education
10,ARIZONA STATE UNIVERSITY,43,48807561,Public Institution of Higher Education
11,ARKANSAS STATE UNIVERSITY,1,1999484,Public Institution of Higher Education
12,AUBURN UNIVERSITY,10,6692483,Public Institution of Higher Education
13,AUBURN UNIVERSITY AT MONTGOMERY,1,299393,Public Institution of Higher Education
14,AUGSBURG UNIVERSITY,1,49965,Private Institution of Higher Education
15,AVILA UNIVERSITY,1,49891,Private Institution of Higher Education
16,AZUSA PACIFIC UNIVERSITY,1,199991,Private Institution of Higher Education
17,BALDWIN WALLACE UNIVERSITY,1,1989847,Private Institution of Higher Education
18,BARNARD COLLEGE,1,299953,Private Institution of Higher Education
19,BARRY UNIVERSITY,1,173064,Private Institution of Higher Education
20,BATES COLLEGE,1,224878,Private Institution of Higher Education
21,BAYLOR COLLEGE OF MEDICINE,1,1159314,Private Institution of Higher Education
22,BAYLOR UNIVERSITY,4,2361864,Private Institution of Higher Education
23,BENEDICTINE UNIVERSITY,1,300000,Private Institution of Higher Education
24,BEREA COLLEGE,1,255997,Private Institution of Higher Education
25,BERRY COLLEGE,1,405632,Private Institution of Higher Education
26,BIOMEDICAL ENGINEERING SOCIETY,2,52725,Private Institution of Higher Education
27,BLACKFEET COMMUNITY COLLEGE,1,586570,Public Institution of Higher Education
28,BOISE STATE UNIVERSITY,6,2204632,Public Institution of Higher Education
29,BOSTON COLLEGE,4,670642,Private Institution of Higher Education
30,BOSTON UNIVERSITY,7,5746025,Private Institution of Higher Education
31,BOWDOIN COLLEGE,1,402000,Private Institution of Higher Education
32,BOWIE STATE UNIVERSITY,2,3513234,Public Institution of Higher Education
33,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,2,1012993,Public Institution of Higher Education
34,BRADLEY UNIVERSITY,1,993878,Private Institution of Higher Education
35,BRANDEIS UNIVERSITY,3,914882,Private Institution of Higher Education
36,BRIDGEWATER STATE UNIVERSITY,1,366925,Public Institution of Higher Education
37,BRIGHAM YOUNG UNIVERSITY,3,1618278,Private Institution of Higher Education
38,BROWARD COLLEGE,1,782729,Public Institution of Higher Education
39,BROWN UNIVERSITY,15,7049628,Private Institution of Higher Education
40,BRYN MAWR COLLEGE,1,100000,Private Institution of Higher Education
41,BUCKNELL UNIVERSITY,2,446201,Private Institution of Higher Education
42,CABRERA RESEARCH LAB LLC,1,275000,Private Institution of Higher Education
